scenario,avg_breakage_rate,std_breakage_rate,avg_energy_kwh,std_energy_kwh,avg_total_cost,std_total_cost,avg_queue,max_queue,avg_running_time,temperature,speed,frequency,farm_breakage_cost,farm_energy_cost,farm_total_cost
B0_25C_Fixed,0.055128817859093585,0.0018166385359828434,1.4042,2.340555645717801e-16,855.1049999999999,43.77975178854566,44.34180555555555,231.0,2.95,25,medium,3,354257.7835625354,18956.699999999997,373214.48356253543
B0_35C_Fixed,0.07008013597445183,0.003269230025488929,1.4042,2.340555645717801e-16,847.6049999999999,74.76816018719316,34.28590277777778,176.0,2.95,35,medium,3,450334.95377182745,18956.699999999997,469291.65377182746
T1_25C_low,0.04863231795652568,0.0029831441051505815,1.1564,0.0,748.91,48.3045891539648,44.733888888888885,226.6,2.95,25,low,3,312511.27518863406,15611.4,328122.6751886341
T1_25C_medium,0.056793739916856004,0.0030868801746745545,1.4042,2.340555645717801e-16,882.6049999999999,78.57233044215445,43.88805555555555,242.3,2.95,25,medium,3,364956.57270571665,18956.699999999997,383913.27270571666
T1_25C_high,0.0689662858689821,0.0034620167335389766,1.6520000000000004,0.0,1046.2999999999997,91.89365834726814,42.95777777777778,232.3,2.95,25,high,3,443177.35299407894,22302.000000000007,465479.35299407894
T2_32C_low,0.04380313835542107,0.002910558565340579,1.541866666666667,2.340555645717801e-16,598.5466666666667,50.277010429994505,30.67631944444444,130.5,3.933333333333333,32,low,4,281478.9670719358,20815.200000000004,302294.16707193584
T2_32C_medium,0.0527400316007542,0.00399191252065547,1.872266666666667,2.340555645717801e-16,746.8066666666666,63.464775882199234,30.317708333333332,139.4,3.933333333333333,32,medium,4,338907.44306644646,25275.600000000006,364183.04306644644
T2_32C_high,0.06329360526350973,0.003579879169780988,2.2026666666666666,0.0,865.0666666666666,72.83924461137386,30.884097222222227,138.7,3.933333333333333,32,high,4,406724.7074233135,29735.999999999996,436460.7074233135
T3_35C_low,0.03888746949642965,0.004989641088943739,1.9273333333333338,2.340555645717801e-16,498.1833333333334,80.79466429027218,27.60076388888889,119.8,4.916666666666667,35,low,5,249890.8789840569,26019.000000000007,275909.87898405694
T3_35C_medium,0.0453333520649223,0.0020482861647362965,2.3403333333333336,0.0,578.5083333333333,34.96029493900505,26.30013888888889,121.5,4.916666666666667,35,medium,5,291312.1203691907,31594.500000000004,322906.6203691907
